,initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_conv1x1,norm_conv1x1_3x3,norm_conv1x1_5x5,norm_var_norm_conv1x1,norm_var_norm_conv1x1_3x3,norm_var_norm_conv1x1_5x5,avg_normalized_variance,train accuracy epoch0,test accuracy epoch0,conv1x1FLOPS,conv1x1_3x3FLOPS,conv1x1_5x5FLOPS,totalFLOPS,final_test_accuracy
0,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.4163939022333178,0.1757430322935389,0.4078630654731432,0.1699123540439765,0.4784698782910975,0.2679083382402165,0.3054301901917635,83.21933333333332,85.51333333333334,0.012544,0.909,2.515,13.274,85.51333333333334
1,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.4171396938120272,0.2124861018863938,0.3703742043015789,0.1828597391740346,0.4096762893085071,0.2920840760836036,0.2948733681887151,82.95933333333332,84.95933333333333,0.012544,0.909,2.515,13.274,84.95933333333333
2,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.4254285958315016,0.2346856240727192,0.3398857800957791,0.159895368946807,0.3304191206915492,0.2557973533479387,0.2487039476620983,82.26277777777777,84.26133333333334,0.012544,0.909,2.515,13.274,84.26133333333334
3,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.4000634635859548,0.1819939318051176,0.4179426046089276,0.1759999552778325,0.5461762239340934,0.2761050845158859,0.3327604212426039,83.25944444444444,85.304,0.012544,0.909,2.515,13.274,85.304
4,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.4037144458284386,0.2070148476599655,0.3892707065115958,0.1696224273634832,0.461457779700097,0.2733964344802159,0.301492213847932,82.94388888888889,85.28266666666667,0.012544,0.909,2.515,13.274,85.28266666666667
5,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.4186702341401494,0.2334357288333835,0.3478940370264671,0.1393578736479256,0.3497690279533698,0.2551505437511204,0.2480924817841386,82.40666666666667,84.66066666666667,0.012544,0.909,2.515,13.274,84.66066666666667
6,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.4357659844455591,0.2076430698191896,0.3565909457352513,0.1744783156116824,0.5790170600941811,0.3804930364664619,0.3779961373907751,82.66677777777778,85.05533333333332,0.012544,0.909,2.515,13.274,85.05533333333332
7,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.455734420254242,0.2194313915905546,0.3248341881552033,0.1762146627988345,0.478405246739998,0.3718862607569603,0.342168723431931,82.65677777777778,84.78266666666667,0.012544,0.909,2.515,13.274,84.78266666666667
8,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.4856685024953885,0.2202737006976832,0.2940577968069283,0.1433677245556154,0.3441078796116046,0.3271529807950185,0.2715428616540795,82.03144444444443,84.28266666666667,0.012544,0.909,2.515,13.274,84.28266666666667
9,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.4308720255822352,0.2017168886549619,0.3674110857628028,0.1611364616645875,0.5970819374900791,0.3748701224965526,0.3776961738837398,82.759,84.54866666666666,0.012544,0.909,2.515,13.274,84.54866666666666
10,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.4443315736655238,0.2040568174854623,0.3516116088490139,0.1724800533915383,0.5159739843061792,0.3682166107562445,0.352223549484654,82.68144444444444,84.93933333333332,0.012544,0.909,2.515,13.274,84.93933333333332
