initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_conv1x1,norm_conv1x1_3x3,norm_conv1x1_5x5,norm_var_norm_conv1x1,norm_var_norm_conv1x1_3x3,norm_var_norm_conv1x1_5x5,avg_normalized_variance,train accuracy epoch0,train accuracy epoch1,train accuracy epoch2,test accuracy epoch0,test accuracy epoch1,test accuracy epoch2,conv1x1FLOPS,conv1x1_3x3FLOPS,conv1x1_5x5FLOPS,totalFLOPS
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.009012461739590511,0.050717076267714704,0.9402704619926948,0.044954367259596346,0.04064226773693772,0.0029863819919466804,0.02952767232949358,59.90289892660997,76.87356384600335,79.95468009883014,71.40493751280475,76.02489244007376,77.50076828518746,0.049152,1.204,3.301,17.927
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.04383561066554687,0.05164587382824458,0.9045185155062085,0.00253150884447561,0.02716685769774435,0.0017947831791741795,0.010497716573798046,59.34550054374781,77.2695214564251,80.65531849061068,71.40929112886703,76.55654578979717,78.29568735914772,0.049152,1.204,3.301,17.927
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.08534468677879546,0.0554266518513411,0.8592286613698634,0.007169955859636371,0.016544566967337655,0.0017771706343972027,0.00849723115379041,55.54527212416561,75.90601125717224,80.04186175610066,68.79276787543536,75.46942224953904,77.72561975005122,0.049152,1.204,3.301,17.927
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.007491516816076819,0.04097896328261689,0.9515295199013063,0.07057020248912202,0.03456673609377111,0.0022596298458810032,0.03579885614292471,60.72047722401955,77.04310395821105,80.12130808887433,71.6318377381684,75.71143208358943,77.48745134193813,0.049152,1.204,3.301,17.927
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.044808549101457575,0.04779600271985244,0.90739544817869,0.009456635753538589,0.02204709304428239,0.0014719160093943841,0.01099188160240512,59.73681695947145,77.21883233001626,80.5971670511578,71.36857201393157,76.28329235812333,78.03267772997336,0.049152,1.204,3.301,17.927
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.07995523447108598,0.05499416201580245,0.8650506035131116,0.008493663862554849,0.025342781877231033,0.002112523407650493,0.011982989715812124,56.03805779652456,76.23444403492726,80.21768113172348,69.71522229051423,75.86099160008195,77.87722802704364,0.049152,1.204,3.301,17.927
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.035172191860783936,0.06449322702066872,0.9003345811185474,0.03247914771293515,0.09111834178368222,0.009348476694636175,0.04431532206375118,47.87556137979988,69.43045260748688,74.2655764409317,61.95554189715222,69.49088301577545,72.47131735300144,0.049152,1.204,3.301,17.927
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.04141754003389439,0.07024452724535983,0.8883379327207457,0.00764369380579929,0.04563341343733102,0.0038985355646672334,0.01905854760259918,52.05090753557112,72.7376223432573,77.05275036287773,65.85535750870723,72.64648637574267,74.78564843269822,0.049152,1.204,3.301,17.927
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.10181322549485539,0.0933855660860314,0.8048012084191132,0.01051123809030027,0.03990669390233953,0.004324330966265762,0.018247420986301856,46.98390597485564,70.02015734560065,76.09739228560639,61.655654578979714,70.65560335996722,74.3139213275968,0.049152,1.204,3.301,17.927
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.030868062954547144,0.06842629728210665,0.9007056397633462,0.0664566061544773,0.19023885754873104,0.025653040004771036,0.0941161679026598,49.814579721619324,70.59894162560119,74.75535898730952,63.329491907396026,69.59357713583283,72.39474492931777,0.049152,1.204,3.301,17.927
